module,GO_BP_ID,0_Level_Pathway,1_Level_Pathway,2_Level_Pathway,3_Level_Pathway,4_Level_Pathway,5_Level_Pathway,6_Level_Pathway,7_Level_Pathway,8_Level_Pathway,9_Level_Pathway,10_Level_Pathway,11_Level_Pathway
R1_cpdb_313,GO:0006997,biological_process,cellular process,cellular component organization or biogenesis,cellular component organization,organelle organization,,,,,,,
R1_cpdb_314,GO:0007099,biological_process,cellular process,"cell cycle process, cellular component organization or biogenesis, microtubule-based process","cellular component organization, microtubule organizing center organization","cellular component assembly, organelle organization, centriole assembly",organelle assembly,membraneless organelle assembly,,,,,
R1_cpdb_315,GO:0061157,biological_process,biological regulation,"regulation of biological process, regulation of biological quality","regulation of RNA stability, negative regulation of biological process, positive regulation of biological process, regulation of cellular process","RNA destabilization, negative regulation of cellular process, regulation of mRNA stability, regulation of metabolic process, positive regulation of cellular process","regulation of primary metabolic process, positive regulation of metabolic process, negative regulation of metabolic process, regulation of macromolecule metabolic process, regulation of biosynthetic process, regulation of catabolic process","negative regulation of biosynthetic process, regulation of mRNA catabolic process, positive regulation of catabolic process, regulation of nucleobase-containing compound metabolic process, regulation of RNA metabolic process, negative regulation of macromolecule metabolic process, regulation of macromolecule biosynthetic process, positive regulation of nucleobase-containing compound metabolic process, positive regulation of macromolecule metabolic process","regulation of mRNA metabolic process, regulation of gene expression, negative regulation of macromolecule biosynthetic process, positive regulation of mRNA catabolic process, positive regulation of RNA metabolic process","post-transcriptional regulation of gene expression, negative regulation of gene expression, positive regulation of mRNA metabolic process",,,
R1_cpdb_319,GO:0006936,biological_process,multicellular organismal process,system process,muscle system process,,,,,,,,
R1_cpdb_320,GO:0030497,biological_process,cellular process,metabolic process,"primary metabolic process, biosynthetic process, small molecule metabolic process","lipid metabolic process, lipid biosynthetic process, small molecule biosynthetic process, organic acid metabolic process","fatty acid biosynthetic process, fatty acid metabolic process, oxoacid metabolic process, organic acid biosynthetic process","carboxylic acid biosynthetic process, carboxylic acid metabolic process","monocarboxylic acid metabolic process, monocarboxylic acid biosynthetic process",,,,
R1_cpdb_322,GO:0042273,biological_process,cellular process,cellular component organization or biogenesis,cellular component biogenesis,ribonucleoprotein complex biogenesis,,,,,,,
R1_cpdb_323,GO:0035720,biological_process,"localization, cellular process","microtubule-based process, establishment of localization, protein-containing complex localization, cellular localization","microtubule-based movement, intraciliary transport, intracellular transport, transport, establishment of localization in cell","microtubule-based transport, transport along microtubule, cytoskeleton-dependent intracellular transport",,,,,,,
R1_cpdb_324,GO:0009062,biological_process,cellular process,metabolic process,"primary metabolic process, small molecule metabolic process, catabolic process","small molecule catabolic process, lipid catabolic process, cellular catabolic process, organic acid metabolic process, lipid metabolic process","organic acid catabolic process, fatty acid metabolic process, oxoacid metabolic process","carboxylic acid metabolic process, carboxylic acid catabolic process","monocarboxylic acid metabolic process, monocarboxylic acid catabolic process",,,,
R1_cpdb_325,GO:0000301,biological_process,"localization, cellular process","vesicle-mediated transport, establishment of localization","transport, Golgi vesicle transport",intra-Golgi vesicle-mediated transport,,,,,,,
R1_cpdb_326,GO:0016072,biological_process,cellular process,metabolic process,"primary metabolic process, macromolecule metabolic process","nucleic acid metabolic process, nucleobase-containing compound metabolic process",RNA metabolic process,,,,,,
R1_cpdb_327,GO:0006098,biological_process,cellular process,metabolic process,"primary metabolic process, purine-containing compound metabolic process, small molecule metabolic process, generation of precursor metabolites and energy, pyridine-containing compound metabolic process, carbohydrate derivative metabolic process, phosphorus metabolic process","NADPH regeneration, nucleobase-containing compound metabolic process, glucose 6-phosphate metabolic process, phosphate-containing compound metabolic process, pyridine nucleotide metabolic process, organophosphate metabolic process, nucleobase-containing small molecule metabolic process, purine nucleotide metabolic process","nicotinamide nucleotide metabolic process, NADP metabolic process, nucleoside phosphate metabolic process",nucleotide metabolic process,,,,,
R1_cpdb_328,GO:0030198,biological_process,cellular process,cellular component organization or biogenesis,cellular component organization,"extracellular structure organization, external encapsulating structure organization",,,,,,,
R1_cpdb_330,GO:0019395,biological_process,cellular process,metabolic process,"primary metabolic process, small molecule metabolic process","lipid metabolic process, organic acid metabolic process","fatty acid metabolic process, oxoacid metabolic process, lipid modification","lipid oxidation, carboxylic acid metabolic process",monocarboxylic acid metabolic process,,,,
R1_cpdb_333,GO:0006613,biological_process,"localization, cellular process","macromolecule localization, cellular localization, establishment of localization","localization within membrane, establishment of protein localization, cellular macromolecule localization","protein localization to membrane, protein localization, establishment of protein localization to membrane, protein targeting",protein targeting to membrane,,,,,,
R1_cpdb_334,GO:0001682,biological_process,cellular process,metabolic process,"primary metabolic process, macromolecule metabolic process","nucleic acid metabolic process, nucleobase-containing compound metabolic process, RNA processing","RNA metabolic process, RNA 5'-end processing, tRNA processing","tRNA metabolic process, tRNA 5'-end processing",,,,,
R1_cpdb_335,GO:0046512,biological_process,cellular process,metabolic process,"primary metabolic process, biosynthetic process, small molecule metabolic process","lipid metabolic process, lipid biosynthetic process, alcohol metabolic process, small molecule biosynthetic process","membrane lipid biosynthetic process, membrane lipid metabolic process, polyol metabolic process, alcohol biosynthetic process","sphingolipid biosynthetic process, sphingolipid metabolic process, polyol biosynthetic process, diol metabolic process","sphingoid biosynthetic process, sphingoid metabolic process, diol biosynthetic process, sphingosine metabolic process",,,,
R1_cpdb_337,GO:0140077,biological_process,biological regulation,regulation of biological process,"regulation of localization, regulation of cellular process, positive regulation of biological process","regulation of transport, positive regulation of cellular process, regulation of cellular localization, positive regulation of transport","positive regulation of protein localization, positive regulation of protein transport, regulation of protein transport, regulation of protein localization","regulation of lipoprotein transport, positive regulation of establishment of protein localization, regulation of establishment of protein localization",,,,,
R1_cpdb_338,GO:0007157,biological_process,cellular process,cell adhesion,cell-cell adhesion,cell-cell adhesion via plasma-membrane adhesion molecules,,,,,,,
R1_cpdb_339,GO:0006906,biological_process,cellular process,cellular component organization or biogenesis,cellular component organization,"organelle organization, membrane organization","organelle fusion, vesicle organization, membrane fusion",organelle membrane fusion,,,,,
R1_cpdb_340,GO:0016559,biological_process,cellular process,cellular component organization or biogenesis,cellular component organization,organelle organization,organelle fission,,,,,,
R1_cpdb_341,GO:0007020,biological_process,cellular process,"cellular component organization or biogenesis, microtubule-based process","cellular component organization, microtubule cytoskeleton organization",organelle organization,cytoskeleton organization,,,,,,
R1_cpdb_343,GO:0051904,biological_process,localization,"establishment of localization, organelle localization","transport, vesicle localization, establishment of localization in cell, establishment of organelle localization","pigment granule localization, establishment of vesicle localization",establishment of pigment granule localization,,,,,,
R1_cpdb_345,GO:0002933,biological_process,cellular process,metabolic process,primary metabolic process,lipid metabolic process,lipid modification,,,,,,
R1_cpdb_347,GO:0006851,biological_process,"localization, cellular process","transmembrane transport, establishment of localization","mitochondrial transmembrane transport, inorganic ion transmembrane transport, transport, monoatomic ion transmembrane transport","inorganic cation transmembrane transport, monoatomic cation transmembrane transport, mitochondrial transport, monoatomic ion transport","calcium ion transmembrane transport, monoatomic cation transport",metal ion transport,calcium ion transport,,,,
R1_cpdb_348,GO:0014059,biological_process,biological regulation,regulation of biological process,"regulation of localization, regulation of cellular process","regulation of transport, regulation of secretion by cell","regulation of secretion, regulation of catecholamine secretion, regulation of amine transport",,,,,,
R1_cpdb_349,GO:0098662,biological_process,"localization, cellular process","transmembrane transport, establishment of localization","inorganic ion transmembrane transport, transport",,,,,,,,
R1_cpdb_350,GO:0045921,biological_process,biological regulation,regulation of biological process,"regulation of localization, regulation of cellular process, positive regulation of biological process","positive regulation of transport, regulation of transport, regulation of secretion by cell, regulation of vesicle-mediated transport, positive regulation of cellular process","positive regulation of secretion by cell, regulation of secretion, positive regulation of secretion, regulation of exocytosis",,,,,,
R1_cpdb_352,GO:0006888,biological_process,"localization, cellular process","vesicle-mediated transport, cellular localization, establishment of localization","intracellular transport, transport, Golgi vesicle transport, establishment of localization in cell",,,,,,,,
R1_cpdb_355,GO:0038196,biological_process,"cellular process, biological regulation","signal transduction, regulation of biological process","cell surface receptor signaling pathway, regulation of cellular process",cytokine-mediated signaling pathway,interferon-mediated signaling pathway,,,,,,
R1_cpdb_359,GO:0032940,biological_process,"localization, cellular process","establishment of localization, export from cell",transport,secretion,,,,,,,
R1_cpdb_363,GO:0050915,biological_process,multicellular organismal process,system process,nervous system process,sensory perception,sensory perception of chemical stimulus,sensory perception of taste,,,,,
R1_cpdb_364,GO:0030198,biological_process,cellular process,cellular component organization or biogenesis,cellular component organization,"extracellular structure organization, external encapsulating structure organization",,,,,,,
R1_cpdb_372,GO:0007338,biological_process,reproductive process,fertilization,,,,,,,,,
R1_cpdb_373,GO:0033141,biological_process,biological regulation,regulation of biological process,"regulation of cellular process, positive regulation of biological process","positive regulation of cellular process, regulation of metabolic process","regulation of primary metabolic process, regulation of macromolecule metabolic process, regulation of phosphorus metabolic process, positive regulation of metabolic process","positive regulation of phosphorus metabolic process, regulation of protein metabolic process, positive regulation of macromolecule metabolic process, regulation of phosphate metabolic process","positive regulation of protein metabolic process, regulation of phosphorylation, regulation of protein modification process, positive regulation of phosphate metabolic process","regulation of protein phosphorylation, positive regulation of protein modification process, positive regulation of phosphorylation","regulation of peptidyl-serine phosphorylation, positive regulation of protein phosphorylation","positive regulation of peptidyl-serine phosphorylation, regulation of peptidyl-serine phosphorylation of STAT protein",
R1_cpdb_375,GO:0071320,biological_process,"response to stimulus, cellular process","response to chemical, cellular response to stimulus","response to organophosphorus, response to nitrogen compound, response to oxygen-containing compound, cellular response to chemical stimulus","cellular response to oxygen-containing compound, response to cAMP, response to purine-containing compound, cellular response to nitrogen compound",,,,,,,
R1_cpdb_376,GO:0099558,biological_process,cellular process,cellular component organization or biogenesis,cellular component organization,"cellular component maintenance, cell junction organization","synapse organization, cell junction maintenance",,,,,,
R1_cpdb_377,GO:0042374,biological_process,cellular process,metabolic process,"ketone metabolic process, small molecule metabolic process","vitamin metabolic process, vitamin K metabolic process",fat-soluble vitamin metabolic process,,,,,,
R1_humanbase_10,GO:0034204,biological_process,"localization, cellular process, biological regulation","cellular component organization or biogenesis, establishment of localization, regulation of biological quality","cellular component organization, regulation of membrane lipid distribution, transport","lipid transport, membrane organization",,,,,,,
R1_humanbase_20,GO:0055088,biological_process,homeostatic process,chemical homeostasis,,,,,,,,,
R1_humanbase_73,GO:0006123,biological_process,cellular process,metabolic process,generation of precursor metabolites and energy,"energy derivation by oxidation of organic compounds, electron transport chain","cellular respiration, respiratory electron transport chain","aerobic electron transport chain, aerobic respiration",,,,,
R1_humanbase_75,GO:0010666,biological_process,biological regulation,regulation of biological process,"regulation of cellular process, positive regulation of biological process","regulation of programmed cell death, positive regulation of cellular process","positive regulation of programmed cell death, regulation of apoptotic process","regulation of muscle cell apoptotic process, positive regulation of apoptotic process","positive regulation of muscle cell apoptotic process, regulation of striated muscle cell apoptotic process","regulation of cardiac muscle cell apoptotic process, positive regulation of striated muscle cell apoptotic process",,,
R1_humanbase_79,GO:0002283,biological_process,"cellular process, immune system process, multicellular organismal process","cell activation, leukocyte activation, immune effector process","cell activation involved in immune response, myeloid leukocyte activation, leukocyte activation involved in immune response","granulocyte activation, myeloid cell activation involved in immune response",neutrophil activation,,,,,,
R1_humanbase_86,GO:0065005,biological_process,cellular process,cellular component organization or biogenesis,cellular component organization,"protein-containing complex organization, cellular component assembly","protein-containing complex assembly, protein-lipid complex organization",,,,,,
R1_humanbase_87,GO:2000846,biological_process,biological regulation,"regulation of biological process, regulation of biological quality","regulation of cellular process, regulation of localization, regulation of hormone levels, regulation of multicellular organismal process, regulation of signaling","regulation of lipid localization, regulation of transport, regulation of cell communication, regulation of hormone secretion, regulation of secretion by cell, regulation of system process","regulation of endocrine process, regulation of secretion, regulation of steroid hormone secretion, regulation of lipid transport",,,,,,
R1_humanbase_90,GO:0046500,biological_process,cellular process,metabolic process,sulfur compound metabolic process,,,,,,,,
R1_humanbase_98,GO:0051584,biological_process,biological regulation,regulation of biological process,regulation of localization,regulation of transport,"regulation of amine transport, regulation of neurotransmitter transport","regulation of neurotransmitter uptake, regulation of catecholamine uptake involved in synaptic transmission",,,,,
R1_humanbase_176,GO:0104004,biological_process,"response to stimulus, cellular process",cellular response to stimulus,,,,,,,,,
R1_humanbase_178,GO:0033539,biological_process,cellular process,metabolic process,"primary metabolic process, small molecule metabolic process, catabolic process","small molecule catabolic process, lipid catabolic process, cellular catabolic process, organic acid metabolic process, lipid metabolic process","organic acid catabolic process, fatty acid metabolic process, lipid modification, oxoacid metabolic process, fatty acid catabolic process","carboxylic acid catabolic process, fatty acid beta-oxidation, fatty acid oxidation, lipid oxidation, carboxylic acid metabolic process","monocarboxylic acid metabolic process, monocarboxylic acid catabolic process",,,,
R1_humanbase_194,GO:0030501,biological_process,biological regulation,regulation of biological process,"regulation of multicellular organismal process, positive regulation of biological process, regulation of developmental process","positive regulation of developmental process, regulation of ossification, regulation of multicellular organismal development, positive regulation of multicellular organismal process","positive regulation of ossification, positive regulation of biomineral tissue development, regulation of biomineral tissue development, regulation of bone mineralization",,,,,,
R1_humanbase_230,GO:1901329,biological_process,biological regulation,regulation of biological process,"regulation of multicellular organismal process, regulation of cellular process, regulation of developmental process","regulation of cell differentiation, regulation of multicellular organismal development",regulation of epithelial cell differentiation,,,,,,
R1_humanbase_239,GO:0051693,biological_process,"cellular process, biological regulation","cellular component organization or biogenesis, regulation of biological process, regulation of biological quality","cellular component organization, regulation of cellular process, negative regulation of biological process, regulation of anatomical structure size","regulation of cellular component organization, regulation of cellular component size, negative regulation of cellular process, regulation of cellular component biogenesis, regulation of actin filament-based process","regulation of protein-containing complex disassembly, regulation of supramolecular fiber organization, regulation of organelle organization, regulation of actin cytoskeleton organization, negative regulation of cellular component organization, regulation of actin filament length, regulation of protein-containing complex assembly","regulation of protein depolymerization, negative regulation of protein-containing complex disassembly, regulation of actin filament organization, regulation of actin polymerization or depolymerization, regulation of cytoskeleton organization, negative regulation of supramolecular fiber organization, regulation of protein polymerization, negative regulation of organelle organization, negative regulation of protein-containing complex assembly","negative regulation of protein polymerization, regulation of actin filament depolymerization, negative regulation of actin filament polymerization, negative regulation of cytoskeleton organization, negative regulation of protein depolymerization, regulation of actin filament polymerization, negative regulation of actin filament depolymerization",,,,
R1_humanbase_252,GO:1902166,biological_process,biological regulation,regulation of biological process,"regulation of signaling, negative regulation of biological process, regulation of cellular process, regulation of response to stimulus","regulation of cellular response to stress, negative regulation of cellular process, regulation of programmed cell death, regulation of cell communication, regulation of signal transduction, negative regulation of signaling, regulation of response to stress, negative regulation of response to stimulus","negative regulation of programmed cell death, regulation of apoptotic signaling pathway, negative regulation of cell communication, regulation of intracellular signal transduction, regulation of intrinsic apoptotic signaling pathway in response to DNA damage, negative regulation of signal transduction, regulation of apoptotic process","regulation of intrinsic apoptotic signaling pathway in response to DNA damage by p53 class mediator, negative regulation of intrinsic apoptotic signaling pathway in response to DNA damage, regulation of signal transduction by p53 class mediator, regulation of intrinsic apoptotic signaling pathway, negative regulation of apoptotic process, negative regulation of apoptotic signaling pathway, negative regulation of intracellular signal transduction","negative regulation of signal transduction by p53 class mediator, negative regulation of intrinsic apoptotic signaling pathway, regulation of intrinsic apoptotic signaling pathway by p53 class mediator",negative regulation of intrinsic apoptotic signaling pathway by p53 class mediator,,,
R1_humanbase_266,GO:0016339,biological_process,cellular process,cell adhesion,cell-cell adhesion,cell-cell adhesion via plasma-membrane adhesion molecules,,,,,,,
R1_humanbase_290,GO:0030199,biological_process,cellular process,cellular component organization or biogenesis,cellular component organization,"extracellular structure organization, external encapsulating structure organization, supramolecular fiber organization",extracellular matrix organization,,,,,,
R1_humanbase_300,GO:0007595,biological_process,"localization, biological regulation","establishment of localization, regulation of biological quality","transport, regulation of body fluid levels","body fluid secretion, secretion",,,,,,,
R1_humanbase_319,GO:0045087,biological_process,"biological process involved in interspecies interaction between organisms, response to stimulus, immune system process","response to external stimulus, response to stress, response to biotic stimulus, immune response, response to other organism","response to external biotic stimulus, defense response to other organism, defense response",defense response to symbiont,,,,,,,
R1_humanbase_320,GO:0051673,biological_process,biological process involved in interspecies interaction between organisms,disruption of anatomical structure in another organism,disruption of cellular anatomical structure in another organism,,,,,,,,
R1_humanbase_351,GO:0045765,biological_process,biological regulation,regulation of biological process,"regulation of multicellular organismal process, regulation of developmental process","regulation of multicellular organismal development, regulation of anatomical structure morphogenesis",regulation of vasculature development,,,,,,
R1_string_1,GO:0006457,biological_process,cellular process,,,,,,,,,,
R1_string_2,GO:1900238,biological_process,"cellular process, biological regulation","signal transduction, regulation of biological process","cell surface receptor signaling pathway, regulation of locomotion, regulation of cellular process","enzyme-linked receptor protein signaling pathway, regulation of cell motility","regulation of cell migration, cell surface receptor protein tyrosine kinase signaling pathway","platelet-derived growth factor receptor signaling pathway, regulation of metanephric mesenchymal cell migration",platelet-derived growth factor receptor-beta signaling pathway,,,,
R1_string_3,GO:0050957,biological_process,multicellular organismal process,system process,nervous system process,sensory perception,,,,,,,
R1_string_4,GO:0090522,biological_process,cellular process,"cellular component organization or biogenesis, exocytic process",cellular component organization,vesicle tethering,,,,,,,
R1_string_5,GO:0060071,biological_process,"cellular process, biological regulation","signal transduction, regulation of biological process","cell surface receptor signaling pathway, regulation of cellular process",Wnt signaling pathway,non-canonical Wnt signaling pathway,,,,,,
R1_string_6,GO:1904507,biological_process,biological regulation,regulation of biological process,"regulation of cellular process, positive regulation of biological process, regulation of response to stimulus","positive regulation of response to stimulus, regulation of cellular component organization, regulation of cellular response to stress, regulation of metabolic process, positive regulation of cellular process, regulation of response to stress","regulation of primary metabolic process, positive regulation of metabolic process, regulation of macromolecule metabolic process, regulation of organelle organization, regulation of telomere maintenance in response to DNA damage, positive regulation of cellular component organization","positive regulation of organelle organization, regulation of DNA metabolic process, regulation of nucleobase-containing compound metabolic process, regulation of chromosome organization, positive regulation of nucleobase-containing compound metabolic process, positive regulation of macromolecule metabolic process","regulation of telomere maintenance, positive regulation of DNA metabolic process, positive regulation of chromosome organization",positive regulation of telomere maintenance,,,
R1_string_7,GO:0099022,biological_process,cellular process,cellular component organization or biogenesis,cellular component organization,,,,,,,,
R1_string_8,GO:0007229,biological_process,"cellular process, biological regulation","signal transduction, regulation of biological process","cell surface receptor signaling pathway, regulation of cellular process",,,,,,,,
R1_string_9,GO:2000323,biological_process,biological regulation,regulation of biological process,"regulation of signaling, negative regulation of biological process, regulation of cellular process, regulation of response to stimulus","negative regulation of cellular process, regulation of cell communication, regulation of signal transduction, negative regulation of signaling, negative regulation of response to stimulus","regulation of intracellular signal transduction, negative regulation of cell communication, negative regulation of signal transduction","regulation of intracellular steroid hormone receptor signaling pathway, negative regulation of intracellular signal transduction","negative regulation of intracellular steroid hormone receptor signaling pathway, regulation of nuclear receptor-mediated glucocorticoid signaling pathway",,,,
R1_string_10,GO:0002503,biological_process,cellular process,cellular component organization or biogenesis,cellular component organization,"protein-containing complex organization, cellular component assembly",protein-containing complex assembly,peptide antigen assembly with MHC protein complex,,,,,
R1_string_12,GO:1904431,biological_process,biological regulation,regulation of biological process,"regulation of cellular process, positive regulation of biological process","regulation of cellular component biogenesis, regulation of cellular component organization, positive regulation of cellular process, regulation of metabolic process","regulation of primary metabolic process, positive regulation of metabolic process, positive regulation of cellular component biogenesis, regulation of macromolecule metabolic process, regulation of t-circle formation, regulation of organelle organization, positive regulation of cellular component organization","positive regulation of organelle organization, regulation of DNA metabolic process, regulation of nucleobase-containing compound metabolic process, regulation of chromosome organization, positive regulation of nucleobase-containing compound metabolic process, positive regulation of macromolecule metabolic process","regulation of telomere maintenance, positive regulation of DNA metabolic process, positive regulation of chromosome organization",positive regulation of telomere maintenance,,,
R1_string_13,GO:0034727,biological_process,cellular process,"process utilizing autophagic mechanism, metabolic process","autophagy, catabolic process","microautophagy, macroautophagy",nucleophagy,,,,,,
R1_string_14,GO:0060070,biological_process,"cellular process, biological regulation","signal transduction, regulation of biological process","cell surface receptor signaling pathway, regulation of cellular process",Wnt signaling pathway,,,,,,,
R1_string_15,GO:0006914,biological_process,cellular process,"process utilizing autophagic mechanism, metabolic process",catabolic process,,,,,,,,
R1_string_18,GO:0002429,biological_process,"cellular process, immune system process, biological regulation","signal transduction, activation of immune response, regulation of biological process","regulation of cellular process, cell surface receptor signaling pathway, immune response-activating signaling pathway, regulation of immune system process, immune response-regulating signaling pathway, positive regulation of biological process, regulation of response to stimulus","positive regulation of response to stimulus, regulation of immune response, immune response-regulating cell surface receptor signaling pathway, positive regulation of immune system process",positive regulation of immune response,,,,,,
R1_string_19,GO:0071356,biological_process,response to stimulus,response to chemical,response to peptide,response to cytokine,"response to tumor necrosis factor, cellular response to cytokine stimulus",,,,,,
R1_string_20,GO:0032543,biological_process,cellular process,metabolic process,"primary metabolic process, biosynthetic process, macromolecule metabolic process","macromolecule biosynthetic process, protein metabolic process",translation,,,,,,
R1_string_21,GO:0042147,biological_process,"localization, cellular process","vesicle-mediated transport, cellular localization, establishment of localization","intracellular transport, transport, endosomal transport, establishment of localization in cell",cytosolic transport,,,,,,,
R1_string_22,GO:1900264,biological_process,biological regulation,"regulation of biological process, regulation of molecular function","regulation of cellular process, regulation of catalytic activity, positive regulation of biological process, positive regulation of molecular function","positive regulation of catalytic activity, positive regulation of cellular process, regulation of transferase activity, regulation of metabolic process","regulation of primary metabolic process, positive regulation of transferase activity, regulation of macromolecule metabolic process, positive regulation of metabolic process, regulation of biosynthetic process","positive regulation of biosynthetic process, regulation of DNA metabolic process, regulation of nucleobase-containing compound metabolic process, regulation of macromolecule biosynthetic process, positive regulation of nucleobase-containing compound metabolic process, positive regulation of macromolecule metabolic process","positive regulation of DNA metabolic process, regulation of DNA biosynthetic process, positive regulation of macromolecule biosynthetic process",positive regulation of DNA biosynthetic process,,,
R1_string_23,GO:0002934,biological_process,cellular process,cellular component organization or biogenesis,cellular component organization,cell junction organization,cell-cell junction organization,,,,,,
R1_string_25,GO:0000122,biological_process,biological regulation,regulation of biological process,"regulation of cellular process, negative regulation of biological process","negative regulation of cellular process, regulation of metabolic process","regulation of primary metabolic process, regulation of macromolecule metabolic process, regulation of biosynthetic process, negative regulation of metabolic process","negative regulation of biosynthetic process, regulation of nucleobase-containing compound metabolic process, regulation of RNA metabolic process, negative regulation of macromolecule metabolic process, negative regulation of nucleobase-containing compound metabolic process, regulation of macromolecule biosynthetic process","negative regulation of macromolecule biosynthetic process, negative regulation of RNA metabolic process, regulation of gene expression, regulation of RNA biosynthetic process","negative regulation of RNA biosynthetic process, regulation of DNA-templated transcription","negative regulation of DNA-templated transcription, regulation of transcription by RNA polymerase II",,
R1_string_26,GO:0086091,biological_process,biological regulation,"regulation of biological process, regulation of biological quality","regulation of multicellular organismal process, regulation of heart rate",regulation of system process,regulation of blood circulation,regulation of heart contraction,cardiac conduction,,,,
R1_string_27,GO:0000377,biological_process,cellular process,metabolic process,primary metabolic process,RNA processing,RNA splicing,"RNA splicing, via transesterification reactions",,,,,
R1_string_28,GO:1903513,biological_process,"localization, cellular process","cellular localization, establishment of localization","intracellular transport, transport, establishment of localization in cell",,,,,,,,
R1_string_29,GO:0042554,biological_process,cellular process,metabolic process,reactive oxygen species metabolic process,superoxide metabolic process,,,,,,,
R1_string_30,GO:0098609,biological_process,cellular process,cell adhesion,,,,,,,,,
R1_string_31,GO:2000819,biological_process,biological regulation,regulation of biological process,"regulation of cellular process, regulation of response to stimulus","regulation of cellular response to stress, regulation of response to stress, regulation of metabolic process","regulation of primary metabolic process, regulation of DNA repair, regulation of macromolecule metabolic process","regulation of DNA metabolic process, regulation of nucleobase-containing compound metabolic process",,,,,
R1_string_32,GO:0097191,biological_process,"cellular process, biological regulation","signal transduction, regulation of biological process","cell surface receptor signaling pathway, regulation of cellular process, apoptotic signaling pathway",,,,,,,,
R1_string_34,GO:0038061,biological_process,"cellular process, biological regulation","signal transduction, regulation of biological process","regulation of cellular process, intracellular signal transduction",intracellular signaling cassette,,,,,,,
R1_string_35,GO:0030509,biological_process,"cellular process, biological regulation","signal transduction, regulation of biological process","cell surface receptor signaling pathway, regulation of cellular process",enzyme-linked receptor protein signaling pathway,cell surface receptor protein serine/threonine kinase signaling pathway,transforming growth factor beta receptor superfamily signaling pathway,,,,,
R1_string_36,GO:0048013,biological_process,"cellular process, biological regulation","signal transduction, regulation of biological process","cell surface receptor signaling pathway, regulation of cellular process",enzyme-linked receptor protein signaling pathway,cell surface receptor protein tyrosine kinase signaling pathway,,,,,,
R1_string_37,GO:0031145,biological_process,cellular process,metabolic process,"primary metabolic process, macromolecule metabolic process, catabolic process","macromolecule catabolic process, protein metabolic process","proteolysis, protein catabolic process, modification-dependent macromolecule catabolic process","proteasomal protein catabolic process, modification-dependent protein catabolic process, proteolysis involved in protein catabolic process","ubiquitin-dependent protein catabolic process, proteasome-mediated ubiquitin-dependent protein catabolic process",,,,
R1_string_38,GO:0097745,biological_process,cellular process,metabolic process,"primary metabolic process, biosynthetic process, macromolecule metabolic process","nucleic acid metabolic process, nucleobase-containing compound metabolic process, macromolecule biosynthetic process, RNA processing","RNA metabolic process, RNA 5'-end processing, gene expression, tRNA processing, mitochondrial RNA processing","tRNA metabolic process, tRNA 5'-end processing, mitochondrial gene expression, mitochondrial RNA metabolic process, mitochondrial RNA 5'-end processing, mitochondrial tRNA processing",,,,,
R1_string_39,GO:0110011,biological_process,biological regulation,regulation of biological process,regulation of cellular process,regulation of cellular component organization,regulation of extracellular matrix organization,,,,,,
R1_string_40,GO:0030150,biological_process,"localization, cellular process","macromolecule localization, transmembrane transport, cellular localization, establishment of localization","establishment of protein localization, mitochondrial transmembrane transport, protein transmembrane transport, cellular macromolecule localization, transport","nitrogen compound transport, protein transport, establishment of protein localization to organelle, mitochondrial transport, protein transmembrane import into intracellular organelle, import into the mitochondrion, protein localization","establishment of protein localization to mitochondrion, protein localization to organelle",protein localization to mitochondrion,,,,,
R1_string_42,GO:0097485,biological_process,cellular process,cellular component organization or biogenesis,cellular component organization,cell projection organization,plasma membrane bounded cell projection organization,neuron projection development,,,,,
R1_string_43,GO:0090049,biological_process,biological regulation,regulation of biological process,"regulation of locomotion, regulation of cellular process",regulation of cell motility,regulation of cell migration,regulation of endothelial cell migration,regulation of blood vessel endothelial cell migration,,,,
R1_string_44,GO:0046856,biological_process,cellular process,metabolic process,"primary metabolic process, phosphorus metabolic process","organophosphate metabolic process, lipid metabolic process, phosphate-containing compound metabolic process","glycerolipid metabolic process, lipid modification, dephosphorylation, phospholipid metabolic process","glycerophospholipid metabolic process, phospholipid dephosphorylation",phosphatidylinositol metabolic process,,,,
R1_string_45,GO:0034243,biological_process,biological regulation,regulation of biological process,regulation of cellular process,regulation of metabolic process,"regulation of primary metabolic process, regulation of macromolecule metabolic process, regulation of biosynthetic process","regulation of macromolecule biosynthetic process, regulation of RNA metabolic process, regulation of nucleobase-containing compound metabolic process","regulation of gene expression, regulation of RNA biosynthetic process",regulation of DNA-templated transcription,regulation of DNA-templated transcription elongation,,
