module,REAC_ID,0_Level_Pathway,1_Level_Pathway,2_Level_Pathway,3_Level_Pathway,4_Level_Pathway,5_Level_Pathway,6_Level_Pathway,7_Level_Pathway,8_Level_Pathway
R1_humanbase_75,R-HSA-111932,Signal Transduction,Intracellular signaling by second messengers,DAG and IP3 signaling,CaM pathway,Calmodulin induced events,CaMK IV-mediated phosphorylation of CREB,,,
R1_humanbase_86,R-HSA-8963898,Transport of small molecules,"Plasma lipoprotein assembly, remodeling, and clearance",Plasma lipoprotein assembly,,,,,,
R1_humanbase_98,R-HSA-390651,Signal Transduction,Signaling by GPCR,GPCR ligand binding,Class A/1 (Rhodopsin-like receptors),Amine ligand-binding receptors,Dopamine receptors,,,
R1_humanbase_164,R-HSA-2424491,Immune System,Innate Immune System,DAP12 interactions,DAP12 signaling,,,,,
R1_humanbase_167,R-HSA-2142850,Metabolism,Metabolism of carbohydrates,Glycosaminoglycan metabolism,Hyaluronan metabolism,Hyaluronan biosynthesis and export,,,,
R1_humanbase_182,R-HSA-3371568,Cellular responses to stimuli,Cellular responses to stress,Cellular response to heat stress,HSF1-dependent transactivation,Attenuation phase,,,,
R1_humanbase_209,R-HSA-5658623,Signal Transduction,Signaling by Receptor Tyrosine Kinases,Signaling by FGFR,Signaling by FGFR1,FGFRL1 modulation of FGFR1 signaling,,,,
R1_humanbase_224,R-HSA-8939242,Gene expression (Transcription),RNA Polymerase II Transcription,Generic Transcription Pathway,Transcriptional regulation by RUNX1,RUNX1 regulates transcription of genes involved in differentiation of keratinocytes,,,,
R1_humanbase_290,R-HSA-8874081,Signal Transduction,Signaling by Receptor Tyrosine Kinases,Signaling by MET,MET promotes cell motility,MET activates PTK2 signaling,,,,
R1_humanbase_352,R-HSA-9028335,Signal Transduction,Signaling by Receptor Tyrosine Kinases,Signaling by NTRKs,Signaling by NTRK2 (TRKB),Activated NTRK2 signals through PI3K,,,,
R1_humanbase_368,R-HSA-112382,Gene expression (Transcription),RNA Polymerase II Transcription,RNA Polymerase II Transcription Elongation,Formation of RNA Pol II elongation complex ,,,,,
R1_string_1,R-HSA-3371568,Cellular responses to stimuli,Cellular responses to stress,Cellular response to heat stress,HSF1-dependent transactivation,Attenuation phase,,,,
R1_string_3,R-HSA-9662361,Sensory Perception,Sensory processing of sound,Sensory processing of sound by outer hair cells of the cochlea,,,,,,
R1_string_4,R-HSA-5620916,Organelle biogenesis and maintenance,Cilium Assembly,Cargo trafficking to the periciliary membrane,VxPx cargo-targeting to cilium,,,,,
R1_string_5,R-HSA-5368598,Signal Transduction,Signaling by WNT,TCF dependent signaling in response to WNT,Negative regulation of TCF-dependent signaling by DVL-interacting proteins,,,,,
R1_string_8,R-HSA-3000157,Extracellular matrix organization,Laminin interactions,,,,,,,
R1_string_9,R-HSA-400253,Circadian Clock,,,,,,,,
R1_string_11,R-HSA-6802953,Disease,Diseases of signal transduction by growth factor receptors and second messengers,Oncogenic MAPK signaling,RAS signaling downstream of NF1 loss-of-function variants,,,,,
R1_string_12,R-HSA-6783310,DNA Repair,Fanconi Anemia Pathway,,,,,,,
R1_string_14,R-HSA-3769402,Signal Transduction,Signaling by WNT,TCF dependent signaling in response to WNT,Deactivation of the beta-catenin transactivating complex,,,,,
R1_string_16,R-HSA-193697,Signal Transduction,Death Receptor Signaling,p75 NTR receptor-mediated signalling,p75NTR regulates axonogenesis,,,,,
R1_string_17,R-HSA-1236978,Immune System,Adaptive Immune System,Class I MHC mediated antigen processing & presentation,Antigen processing-Cross presentation,Cross-presentation of soluble exogenous antigens (endosomes),,,,
R1_string_18,R-HSA-202433,Immune System,Adaptive Immune System,TCR signaling,Generation of second messenger molecules,,,,,
R1_string_19,R-HSA-5676594,Immune System,Cytokine Signaling in Immune system,TNFR2 non-canonical NF-kB pathway,TNF receptor superfamily (TNFSF) members mediating non-canonical NF-kB pathway,,,,,
R1_string_20,R-HSA-5368286,Metabolism of proteins,Translation,Mitochondrial translation,Mitochondrial translation initiation,,,,,
R1_string_21,R-HSA-6811440,Vesicle-mediated transport,Membrane Trafficking,Intra-Golgi and retrograde Golgi-to-ER traffic,Retrograde transport at the Trans-Golgi-Network,,,,,
R1_string_22,R-HSA-176187,Cell Cycle,Cell Cycle Checkpoints,G2/M Checkpoints,Activation of ATR in response to replication stress,,,,,
R1_string_23,R-HSA-6809371,Developmental Biology,Keratinization,Formation of the cornified envelope,,,,,,
R1_string_24,R-HSA-428930,Hemostasis,"Platelet activation, signaling and aggregation",Signal amplification,Thromboxane signalling through TP receptor,,,,,
R1_string_25,R-HSA-9022537,Disease,Disorders of Developmental Biology,Disorders of Nervous System Development,Pervasive developmental disorders,Loss of function of MECP2 in Rett syndrome,Loss of MECP2 binding ability to the NCoR/SMRT complex,,,
R1_string_26,R-HSA-5576893,Muscle contraction,Cardiac conduction,Phase 2 - plateau phase,,,,,,
R1_string_27,R-HSA-72163,Metabolism of RNA,Processing of Capped Intron-Containing Pre-mRNA,mRNA Splicing,mRNA Splicing - Major Pathway,,,,,
R1_string_28,R-HSA-901032,Metabolism of proteins,Post-translational protein modification,Asparagine N-linked glycosylation,N-glycan trimming in the ER and Calnexin/Calreticulin cycle,Calnexin/calreticulin cycle,ER Quality Control Compartment (ERQC),,,
R1_string_29,R-HSA-5668599,Signal Transduction,"Signaling by Rho GTPases, Miro GTPases and RHOBTB3",Signaling by Rho GTPases,RHO GTPase Effectors,RHO GTPases Activate NADPH Oxidases,,,,
R1_string_30,R-HSA-216083,Extracellular matrix organization,Integrin cell surface interactions,,,,,,,
R1_string_31,R-HSA-8939243,Gene expression (Transcription),RNA Polymerase II Transcription,Generic Transcription Pathway,Transcriptional regulation by RUNX1,RUNX1 interacts with co-factors whose precise effect on RUNX1 targets is not known,,,,
R1_string_32,R-HSA-5676594,Immune System,Cytokine Signaling in Immune system,TNFR2 non-canonical NF-kB pathway,TNF receptor superfamily (TNFSF) members mediating non-canonical NF-kB pathway,,,,,
R1_string_33,R-HSA-4839748,Disease,Diseases of signal transduction by growth factor receptors and second messengers,Signaling by WNT in cancer,Signaling by AMER1 mutants,,,,,
R1_string_34,R-HSA-1810476,Immune System,Innate Immune System,Cytosolic sensors of pathogen-associated DNA ,ZBP1(DAI) mediated induction of type I IFNs,RIP-mediated NFkB activation via ZBP1,,,,
R1_string_35,R-HSA-201451,Signal Transduction,Signaling by TGFB family members,Signaling by BMP,,,,,,
R1_string_36,R-HSA-3928663,Developmental Biology,Nervous system development,Axon guidance,EPH-Ephrin signaling,EPHA-mediated growth cone collapse,,,,
R1_string_37,R-HSA-141405,Cell Cycle,Cell Cycle Checkpoints,Mitotic Spindle Checkpoint,Inhibition of the proteolytic activity of APC/C required for the onset of anaphase by mitotic spindle checkpoint components,,,,,
R1_string_38,R-HSA-6785470,Metabolism of RNA,tRNA processing,tRNA processing in the mitochondrion,,,,,,
R1_string_39,R-HSA-3000157,Extracellular matrix organization,Laminin interactions,,,,,,,
R1_string_40,R-HSA-1268020,Protein localization,Mitochondrial protein import,,,,,,,
R1_string_41,R-HSA-9013420,Signal Transduction,"Signaling by Rho GTPases, Miro GTPases and RHOBTB3",Signaling by Rho GTPases,RHO GTPase cycle,RHOU GTPase cycle,,,,
R1_string_42,R-HSA-418886,Developmental Biology,Nervous system development,Axon guidance,Netrin-1 signaling,Netrin mediated repulsion signals,,,,
R1_string_43,R-HSA-198765,Signal Transduction,Signaling by Receptor Tyrosine Kinases,Signaling by NTRKs,Signaling by NTRK1 (TRKA),Signalling to ERK5,,,,
R1_string_44,R-HSA-1483255,Metabolism,Metabolism of lipids,Phospholipid metabolism,PI Metabolism,,,,,
R1_string_45,R-HSA-75955,Gene expression (Transcription),RNA Polymerase II Transcription,RNA Polymerase II Transcription Elongation,,,,,,
R1_string_46,R-HSA-6799198,Metabolism,Aerobic respiration and respiratory electron transport,Respiratory electron transport,Complex I biogenesis,,,,,
R1_string_47,R-HSA-5620924,Organelle biogenesis and maintenance,Cilium Assembly,Intraflagellar transport,,,,,,
R1_string_48,R-HSA-380972,Signal Transduction,MTOR signalling,Energy dependent regulation of mTOR by LKB1-AMPK,,,,,,
R1_string_49,R-HSA-73780,Gene expression (Transcription),RNA Polymerase III Transcription,RNA Polymerase III Chain Elongation,,,,,,
R1_string_50,R-HSA-5368286,Metabolism of proteins,Translation,Mitochondrial translation,Mitochondrial translation initiation,,,,,
R1_string_51,R-HSA-6811434,Vesicle-mediated transport,Membrane Trafficking,Intra-Golgi and retrograde Golgi-to-ER traffic,Golgi-to-ER retrograde transport,COPI-dependent Golgi-to-ER retrograde traffic,,,,
R1_string_52,R-HSA-2173788,Signal Transduction,Signaling by TGFB family members,Signaling by TGF-beta Receptor Complex,TGF-beta receptor signaling activates SMADs,Downregulation of TGF-beta receptor signaling,,,,
R1_string_53,R-HSA-169893,Signal Transduction,Signaling by Receptor Tyrosine Kinases,Signaling by NTRKs,Signaling by NTRK1 (TRKA),Signalling to ERKs,Prolonged ERK activation events,,,
R1_string_54,R-HSA-912526,Immune System,Cytokine Signaling in Immune system,Signaling by Interleukins,Interleukin-2 family signaling,Interleukin receptor SHC signaling,,,,
R1_string_56,R-HSA-446353,Cell-Cell communication,Cell junction organization,Cell-extracellular matrix interactions,,,,,,
R1_string_57,R-HSA-1592389,Extracellular matrix organization,Degradation of the extracellular matrix,Activation of Matrix Metalloproteinases,,,,,,
R1_string_58,R-HSA-389661,Metabolism,Metabolism of amino acids and derivatives,Glyoxylate metabolism and glycine degradation,,,,,,
R1_string_60,R-HSA-380259,Cell Cycle,"Cell Cycle, Mitotic",Mitotic G2-G2/M phases,G2/M Transition,Centrosome maturation,Loss of proteins required for interphase microtubule organization from the centrosome,Loss of Nlp from mitotic centrosomes,,
R1_string_61,R-HSA-6782315,Metabolism of RNA,tRNA processing,tRNA modification in the nucleus and cytosol,,,,,,
R1_string_62,R-HSA-68962,Cell Cycle,"Cell Cycle, Mitotic",Mitotic G1 phase and G1/S transition,G1/S Transition,Activation of the pre-replicative complex,,,,
R1_string_63,R-HSA-8953750,Gene expression (Transcription),RNA Polymerase II Transcription,Generic Transcription Pathway,Transcriptional Regulation by E2F6,,,,,
R1_string_64,R-HSA-114608,Hemostasis,"Platelet activation, signaling and aggregation",Response to elevated platelet cytosolic Ca2+,Platelet degranulation ,,,,,
R1_string_65,R-HSA-9614085,Gene expression (Transcription),RNA Polymerase II Transcription,Generic Transcription Pathway,FOXO-mediated transcription,,,,,
R1_string_66,R-HSA-2173789,Signal Transduction,Signaling by TGFB family members,Signaling by TGF-beta Receptor Complex,TGF-beta receptor signaling activates SMADs,,,,,
R1_string_67,R-HSA-212676,Neuronal System,Transmission across Chemical Synapses,Neurotransmitter release cycle,Dopamine Neurotransmitter Release Cycle,,,,,
R1_string_68,R-HSA-163210,Metabolism,Aerobic respiration and respiratory electron transport,Formation of ATP by chemiosmotic coupling,,,,,,
R1_string_69,R-HSA-1268020,Protein localization,Mitochondrial protein import,,,,,,,
R1_string_70,R-HSA-983168,Immune System,Adaptive Immune System,Class I MHC mediated antigen processing & presentation,Antigen processing: Ubiquitination & Proteasome degradation,,,,,
R1_string_72,R-HSA-216083,Extracellular matrix organization,Integrin cell surface interactions,,,,,,,
R1_string_73,R-HSA-451308,Neuronal System,Transmission across Chemical Synapses,Neurotransmitter receptors and postsynaptic signal transmission,Activation of kainate receptors upon glutamate binding,Ionotropic activity of kainate receptors,Activation of Ca-permeable Kainate Receptor,,,
R1_string_74,R-HSA-140875,Hemostasis,Formation of Fibrin Clot (Clotting Cascade),Common Pathway of Fibrin Clot Formation,,,,,,
R1_string_77,R-HSA-6783589,Immune System,Cytokine Signaling in Immune system,Signaling by Interleukins,Interleukin-6 family signaling,,,,,
R1_string_78,R-HSA-72172,Metabolism of RNA,Processing of Capped Intron-Containing Pre-mRNA,mRNA Splicing,,,,,,
R1_string_79,R-HSA-912694,Immune System,Cytokine Signaling in Immune system,Interferon Signaling,Interferon alpha/beta signaling,Regulation of IFNA/IFNB signaling,,,,
R1_string_80,R-HSA-5674499,Signal Transduction,MAPK family signaling cascades,MAPK1/MAPK3 signaling,RAF/MAP kinase cascade,Negative regulation of MAPK pathway,Negative feedback regulation of MAPK pathway,,,
R1_string_81,R-HSA-9753512,Disease,Diseases of signal transduction by growth factor receptors and second messengers,Oncogenic MAPK signaling,Signaling by RAS mutants,RAS GTPase cycle mutants,Signaling by RAS GTPase mutants,,,
R1_string_82,R-HSA-5693554,DNA Repair,DNA Double-Strand Break Repair,Homology Directed Repair,HDR through Homologous Recombination (HRR) or Single Strand Annealing (SSA),HDR through Homologous Recombination (HRR),Resolution of D-Loop Structures,Resolution of D-loop Structures through Synthesis-Dependent Strand Annealing (SDSA),,
R1_string_83,R-HSA-1268020,Protein localization,Mitochondrial protein import,,,,,,,
R1_string_85,R-HSA-212300,Gene expression (Transcription),Epigenetic regulation of gene expression,PRC2 methylates histones and DNA,,,,,,
R1_string_86,R-HSA-111453,Programmed Cell Death,Apoptosis,Intrinsic Pathway for Apoptosis,BH3-only proteins associate with and inactivate anti-apoptotic BCL-2 members,,,,,
R1_string_87,R-HSA-4655427,Metabolism of proteins,Post-translational protein modification,SUMOylation,SUMO E3 ligases SUMOylate target proteins,SUMOylation of DNA methylation proteins,,,,
R1_string_88,R-HSA-171007,Signal Transduction,Signaling by Receptor Tyrosine Kinases,Signaling by NTRKs,Signaling by NTRK1 (TRKA),Signalling to ERKs,Signalling to RAS,p38MAPK events,,
R1_string_89,R-HSA-75205,Hemostasis,Dissolution of Fibrin Clot,,,,,,,
R1_string_90,R-HSA-72737,Metabolism of proteins,Translation,Eukaryotic Translation Initiation,Cap-dependent Translation Initiation,,,,,
R1_string_91,R-HSA-9020558,Immune System,Cytokine Signaling in Immune system,Signaling by Interleukins,Interleukin-2 family signaling,Interleukin-2 signaling,,,,
R1_string_92,R-HSA-8951664,Metabolism of proteins,Post-translational protein modification,Neddylation,,,,,,
R1_string_93,R-HSA-381183,Cellular responses to stimuli,Cellular responses to stress,Unfolded Protein Response (UPR),ATF6 (ATF6-alpha) activates chaperones,ATF6 (ATF6-alpha) activates chaperone genes,,,,
R1_string_94,R-HSA-3214847,Chromatin organization,Chromatin modifying enzymes,HATs acetylate histones,,,,,,
R1_string_95,R-HSA-75158,Signal Transduction,Death Receptor Signaling,TRAIL  signaling,,,,,,
R1_string_96,R-HSA-77595,Metabolism of RNA,Processing of Capped Intronless Pre-mRNA,Processing of Intronless Pre-mRNAs,,,,,,
R1_string_97,R-HSA-76071,Gene expression (Transcription),RNA Polymerase III Transcription,RNA Polymerase III Transcription Initiation,RNA Polymerase III Transcription Initiation From Type 3 Promoter,,,,,
R1_string_98,R-HSA-75955,Gene expression (Transcription),RNA Polymerase II Transcription,RNA Polymerase II Transcription Elongation,,,,,,
R1_string_99,R-HSA-3769402,Signal Transduction,Signaling by WNT,TCF dependent signaling in response to WNT,Deactivation of the beta-catenin transactivating complex,,,,,
R1_string_100,R-HSA-164938,Disease,Infectious disease,Viral Infection Pathways,HIV Infection,Host Interactions of HIV factors,The role of Nef in HIV-1 replication and disease pathogenesis,Nef-mediates down modulation of cell surface receptors by recruiting them to clathrin adapters,,
R1_string_101,R-HSA-69166,Cell Cycle,"Cell Cycle, Mitotic",S Phase,Synthesis of DNA,DNA strand elongation,Lagging Strand Synthesis,Processive synthesis on the lagging strand,Removal of the Flap Intermediate,
R1_string_102,R-HSA-210993,Hemostasis,Cell surface interactions at the vascular wall,Tie2 Signaling,,,,,,
R1_string_103,R-HSA-77387,Signal Transduction,Signaling by Receptor Tyrosine Kinases,Signaling by Insulin receptor,Insulin receptor recycling,,,,,
R1_string_104,R-HSA-162710,Metabolism of proteins,Post-translational protein modification,Post-translational modification: synthesis of GPI-anchored proteins,Synthesis of glycosylphosphatidylinositol (GPI),,,,,
R1_string_105,R-HSA-1660661,Metabolism,Metabolism of lipids,Sphingolipid metabolism,Sphingolipid de novo biosynthesis,,,,,
R1_string_106,R-HSA-110381,DNA Repair,Base Excision Repair,Resolution of Abasic Sites (AP sites),Resolution of AP sites via the single-nucleotide replacement pathway,,,,,
R1_string_108,R-HSA-4615885,Metabolism of proteins,Post-translational protein modification,SUMOylation,SUMO E3 ligases SUMOylate target proteins,SUMOylation of DNA replication proteins,,,,
R1_string_109,R-HSA-156711,Cell Cycle,"Cell Cycle, Mitotic",Mitotic G2-G2/M phases,G2/M Transition,Polo-like kinase mediated events,,,,
R1_string_110,R-HSA-2892247,Developmental Biology,Transcriptional regulation of pluripotent stem cells,"POU5F1 (OCT4), SOX2, NANOG activate genes related to proliferation",,,,,,
R1_string_111,R-HSA-111459,Programmed Cell Death,Apoptosis,Intrinsic Pathway for Apoptosis,Apoptotic factor-mediated response,Cytochrome c-mediated apoptotic response,Activation of caspases through apoptosome-mediated cleavage,,,
R1_string_112,R-HSA-156842,Metabolism of proteins,Translation,Eukaryotic Translation Elongation,,,,,,
R1_string_113,R-HSA-917729,Vesicle-mediated transport,Membrane Trafficking,Endosomal Sorting Complex Required For Transport (ESCRT),,,,,,
R1_string_114,R-HSA-162791,Metabolism of proteins,Post-translational protein modification,Post-translational modification: synthesis of GPI-anchored proteins,Attachment of GPI anchor to uPAR,,,,,
R1_string_115,R-HSA-71403,Metabolism,Aerobic respiration and respiratory electron transport,Citric acid cycle (TCA cycle),,,,,,
R1_string_116,R-HSA-2470946,Cell Cycle,"Cell Cycle, Mitotic",M Phase,Mitotic Telophase/Cytokinesis,Cohesin Loading onto Chromatin,,,,
R1_string_117,R-HSA-9651496,Disease,Diseases of hemostasis,Defects of contact activation system (CAS) and kallikrein/kinin system (KKS),,,,,,
R1_string_118,R-HSA-5624138,Organelle biogenesis and maintenance,Cilium Assembly,Cargo trafficking to the periciliary membrane,Trafficking of myristoylated proteins to the cilium,,,,,
R1_string_119,R-HSA-168255,Disease,Infectious disease,Viral Infection Pathways,Influenza Infection,,,,,
R1_string_121,R-HSA-9013026,Signal Transduction,"Signaling by Rho GTPases, Miro GTPases and RHOBTB3",Signaling by Rho GTPases,RHO GTPase cycle,RHOB GTPase cycle,,,,
R1_string_122,R-HSA-75035,Cell Cycle,Cell Cycle Checkpoints,G2/M Checkpoints,G2/M DNA damage checkpoint,Chk1/Chk2(Cds1) mediated inactivation of Cyclin B:Cdk1 complex,,,,
R1_string_124,R-HSA-622312,Immune System,Innate Immune System,"Nucleotide-binding domain, leucine rich repeat containing receptor (NLR) signaling pathways",Inflammasomes,,,,,
R1_string_125,R-HSA-72172,Metabolism of RNA,Processing of Capped Intron-Containing Pre-mRNA,mRNA Splicing,,,,,,
R1_string_126,R-HSA-9754560,Disease,Infectious disease,Viral Infection Pathways,SARS-CoV Infections,SARS-CoV-2 Infection,SARS-CoV-2-host interactions,SARS-CoV-2 modulates autophagy,,
R1_string_127,R-HSA-606279,Cell Cycle,Chromosome Maintenance,Nucleosome assembly,Deposition of new CENPA-containing nucleosomes at the centromere,,,,,
R1_string_129,R-HSA-426486,Gene expression (Transcription),Gene Silencing by RNA,Small interfering RNA (siRNA) biogenesis,,,,,,
R1_string_130,R-HSA-73863,Gene expression (Transcription),RNA Polymerase I Transcription,RNA Polymerase I Transcription Termination,,,,,,
R1_string_131,R-HSA-168638,Immune System,Innate Immune System,"Nucleotide-binding domain, leucine rich repeat containing receptor (NLR) signaling pathways",NOD1/2 Signaling Pathway,,,,,
R1_string_132,R-HSA-75205,Hemostasis,Dissolution of Fibrin Clot,,,,,,,
R1_string_134,R-HSA-6811436,Vesicle-mediated transport,Membrane Trafficking,Intra-Golgi and retrograde Golgi-to-ER traffic,Golgi-to-ER retrograde transport,COPI-independent Golgi-to-ER retrograde traffic,,,,
R1_string_135,R-HSA-4839744,Disease,Diseases of signal transduction by growth factor receptors and second messengers,Signaling by WNT in cancer,Signaling by APC mutants,,,,,
R1_string_137,R-HSA-429958,Metabolism of RNA,Deadenylation-dependent mRNA decay,mRNA decay by 3' to 5' exoribonuclease,,,,,,
R1_string_138,R-HSA-72163,Metabolism of RNA,Processing of Capped Intron-Containing Pre-mRNA,mRNA Splicing,mRNA Splicing - Major Pathway,,,,,
R1_string_141,R-HSA-9609523,Protein localization,Insertion of tail-anchored proteins into the endoplasmic reticulum membrane,,,,,,,
R1_string_142,R-HSA-6790901,Metabolism of RNA,rRNA processing,rRNA processing in the nucleus and cytosol,rRNA modification in the nucleus and cytosol,,,,,
R1_string_143,R-HSA-447115,Immune System,Cytokine Signaling in Immune system,Signaling by Interleukins,Interleukin-12 family signaling,,,,,
R1_string_144,R-HSA-388841,Immune System,Adaptive Immune System,Regulation of T cell activation by CD28 family,,,,,,
R1_string_145,R-HSA-198203,Signal Transduction,Signaling by Receptor Tyrosine Kinases,Signaling by NTRKs,Signaling by NTRK1 (TRKA),PI3K/AKT activation,,,,
R1_string_146,R-HSA-195253,Signal Transduction,Signaling by WNT,Degradation of beta-catenin by the destruction complex,,,,,,
R1_string_148,R-HSA-199977,Metabolism of proteins,Post-translational protein modification,Asparagine N-linked glycosylation,Transport to the Golgi and subsequent modification,ER to Golgi Anterograde Transport,,,,
R1_string_149,R-HSA-5663213,Signal Transduction,"Signaling by Rho GTPases, Miro GTPases and RHOBTB3",Signaling by Rho GTPases,RHO GTPase Effectors,RHO GTPases Activate WASPs and WAVEs,,,,
R1_string_150,R-HSA-5685938,DNA Repair,DNA Double-Strand Break Repair,Homology Directed Repair,HDR through Homologous Recombination (HRR) or Single Strand Annealing (SSA),HDR through Single Strand Annealing (SSA),,,,
R1_string_152,R-HSA-166665,Immune System,Innate Immune System,Complement cascade,Terminal pathway of complement,,,,,
R1_string_153,R-HSA-8949215,Transport of small molecules,Mitochondrial calcium ion transport,,,,,,,
R1_string_154,R-HSA-373080,Signal Transduction,Signaling by GPCR,GPCR ligand binding,Class B/2 (Secretin family receptors),,,,,
R1_string_155,R-HSA-166208,Signal Transduction,MTOR signalling,mTORC1-mediated signalling,,,,,,
R1_string_156,R-HSA-380108,Signal Transduction,Signaling by GPCR,GPCR ligand binding,Class A/1 (Rhodopsin-like receptors),Peptide ligand-binding receptors,Chemokine receptors bind chemokines,,,
R1_string_157,R-HSA-140837,Hemostasis,Formation of Fibrin Clot (Clotting Cascade),Intrinsic Pathway of Fibrin Clot Formation,,,,,,
R1_string_158,R-HSA-9843745,Developmental Biology,Adipogenesis,,,,,,,
R1_string_159,R-HSA-442720,Neuronal System,Transmission across Chemical Synapses,Neurotransmitter receptors and postsynaptic signal transmission,Activation of NMDA receptors and postsynaptic events,Post NMDA receptor activation events,CREB1 phosphorylation through the activation of Adenylate Cyclase,,,
R1_string_161,R-HSA-167162,Disease,Infectious disease,Viral Infection Pathways,HIV Infection,HIV Life Cycle,Late Phase of HIV Life Cycle,Transcription of the HIV genome,RNA Polymerase II HIV Promoter Escape,
R1_string_162,R-HSA-5578775,Muscle contraction,Cardiac conduction,Ion homeostasis,,,,,,
R1_string_164,R-HSA-171319,Cell Cycle,Chromosome Maintenance,Telomere Maintenance,Extension of Telomeres,Telomere Extension By Telomerase,,,,
R1_string_165,R-HSA-8939236,Gene expression (Transcription),RNA Polymerase II Transcription,Generic Transcription Pathway,Transcriptional regulation by RUNX1,RUNX1 regulates transcription of genes involved in differentiation of HSCs,,,,
R1_string_167,R-HSA-168898,Immune System,Innate Immune System,Toll-like Receptor Cascades,,,,,,
R1_string_168,R-HSA-9659787,Disease,Diseases of mitotic cell cycle,Aberrant regulation of mitotic cell cycle due to RB1 defects,Aberrant regulation of mitotic G1/S transition in cancer due to RB1 defects,,,,,
R1_string_169,R-HSA-8854691,Immune System,Cytokine Signaling in Immune system,Signaling by Interleukins,Interleukin-20 family signaling,,,,,
R1_string_170,R-HSA-5632684,Signal Transduction,Signaling by Hedgehog,Hedgehog 'on' state,,,,,,
R1_string_172,R-HSA-9639288,Cellular responses to stimuli,Cellular responses to stress,Cellular response to starvation,Amino acids regulate mTORC1,,,,,
R1_string_173,R-HSA-5663213,Signal Transduction,"Signaling by Rho GTPases, Miro GTPases and RHOBTB3",Signaling by Rho GTPases,RHO GTPase Effectors,RHO GTPases Activate WASPs and WAVEs,,,,
R1_string_174,R-HSA-190322,Signal Transduction,Signaling by Receptor Tyrosine Kinases,Signaling by FGFR,Signaling by FGFR4,FGFR4 ligand binding and activation,,,,
R1_string_175,R-HSA-9013408,Signal Transduction,"Signaling by Rho GTPases, Miro GTPases and RHOBTB3",Signaling by Rho GTPases,RHO GTPase cycle,RHOG GTPase cycle,,,,
R1_string_176,R-HSA-877312,Immune System,Cytokine Signaling in Immune system,Interferon Signaling,Interferon gamma signaling,Regulation of IFNG signaling,,,,
R1_string_177,R-HSA-9615933,Cell Cycle,"Cell Cycle, Mitotic",M Phase,Mitotic Metaphase and Anaphase,Mitotic Anaphase,Nuclear Envelope (NE) Reassembly,Postmitotic nuclear pore complex (NPC) reformation,,
R1_string_178,R-HSA-6804115,Gene expression (Transcription),RNA Polymerase II Transcription,Generic Transcription Pathway,Transcriptional Regulation by TP53,TP53 Regulates Transcription of Cell Cycle Genes,TP53 regulates transcription of additional cell cycle genes whose exact role in the p53 pathway remain uncertain,,,
R1_string_179,R-HSA-9683683,Disease,Infectious disease,Viral Infection Pathways,SARS-CoV Infections,SARS-CoV-1 Infection,Translation of Structural Proteins,Maturation of protein E,,
R1_string_180,R-HSA-9613354,Autophagy,Macroautophagy,Selective autophagy,Lipophagy,,,,,
R1_string_182,R-HSA-72163,Metabolism of RNA,Processing of Capped Intron-Containing Pre-mRNA,mRNA Splicing,mRNA Splicing - Major Pathway,,,,,
R1_string_183,R-HSA-73728,Gene expression (Transcription),RNA Polymerase I Transcription,RNA Polymerase I Promoter Clearance,RNA Polymerase I Promoter Opening,,,,,
R1_string_184,R-HSA-6783310,DNA Repair,Fanconi Anemia Pathway,,,,,,,
R1_string_186,R-HSA-1660517,Metabolism,Metabolism of lipids,Phospholipid metabolism,PI Metabolism,Synthesis of PIPs at the late endosome membrane,,,,
R1_string_188,R-HSA-1250342,Signal Transduction,Signaling by Receptor Tyrosine Kinases,Signaling by ERBB4,PI3K events in ERBB4 signaling,,,,,
R1_string_189,R-HSA-912526,Immune System,Cytokine Signaling in Immune system,Signaling by Interleukins,Interleukin-2 family signaling,Interleukin receptor SHC signaling,,,,
R1_string_190,R-HSA-168271,Disease,Infectious disease,Viral Infection Pathways,Influenza Infection,Transport of Ribonucleoproteins into the Host Nucleus,,,,
R1_string_191,R-HSA-5423599,Disease,Diseases of DNA repair,Diseases of Mismatch Repair (MMR),,,,,,
R1_string_192,R-HSA-182971,Signal Transduction,Signaling by Receptor Tyrosine Kinases,Signaling by EGFR,EGFR downregulation,,,,,
R1_string_193,R-HSA-9639288,Cellular responses to stimuli,Cellular responses to stress,Cellular response to starvation,Amino acids regulate mTORC1,,,,,
R1_string_194,R-HSA-390522,Muscle contraction,Striated Muscle Contraction,,,,,,,
R1_string_195,R-HSA-8964026,Transport of small molecules,"Plasma lipoprotein assembly, remodeling, and clearance",Plasma lipoprotein clearance,Chylomicron clearance,,,,,
R1_string_196,R-HSA-381426,Metabolism of proteins,Regulation of Insulin-like Growth Factor (IGF) transport and uptake by Insulin-like Growth Factor Binding Proteins (IGFBPs),,,,,,,
R1_string_197,R-HSA-5602498,Disease,Diseases of Immune System,Diseases associated with the TLR signaling cascade,MyD88 deficiency (TLR2/4),,,,,
R1_string_198,R-HSA-446652,Immune System,Cytokine Signaling in Immune system,Signaling by Interleukins,Interleukin-1 family signaling,,,,,
R1_string_200,R-HSA-9733709,Developmental Biology,Cardiogenesis,,,,,,,
R1_string_201,R-HSA-216083,Extracellular matrix organization,Integrin cell surface interactions,,,,,,,
