module,KEGG_ID,0_Level_Pathway,1_Level_Pathway,2_Level_Pathway
R1_cpdb_184,hsa04330,Environmental Information Processing,Signal transduction,Notch signaling pathway
R1_cpdb_185,hsa03040,Genetic Information Processing,Transcription,Spliceosome
R1_cpdb_187,hsa04610,Organismal Systems,Immune system,Complement and coagulation cascades
R1_cpdb_191,hsa04610,Organismal Systems,Immune system,Complement and coagulation cascades
R1_cpdb_193,hsa03015,Genetic Information Processing,Translation,mRNA surveillance pathway
R1_cpdb_194,hsa04668,Environmental Information Processing,Signal transduction,TNF signaling pathway
R1_cpdb_195,hsa03015,Genetic Information Processing,Translation,mRNA surveillance pathway
R1_cpdb_197,hsa04141,Genetic Information Processing,"Folding, sorting and degradation",Protein processing in endoplasmic reticulum
R1_cpdb_198,hsa05310,Human Diseases,Immune disease,Asthma
R1_cpdb_199,hsa04520,Cellular Processes,Cellular community - eukaryotes,Adherens junction
R1_cpdb_200,hsa00030,Metabolism,Carbohydrate metabolism,Pentose phosphate pathway
R1_cpdb_201,hsa04814,Cellular Processes,Cell motility,Motor proteins
R1_cpdb_202,hsa04640,Organismal Systems,Immune system,Hematopoietic cell lineage
R1_cpdb_206,hsa04512,Environmental Information Processing,Signaling molecules and interaction,ECM-receptor interaction
R1_cpdb_209,hsa04136,Cellular Processes,Transport and catabolism,Autophagy - other
R1_cpdb_210,hsa04120,Genetic Information Processing,"Folding, sorting and degradation",Ubiquitin mediated proteolysis
R1_cpdb_212,hsa05110,Human Diseases,Infectious disease: bacterial,Vibrio cholerae infection
R1_cpdb_215,hsa04144,Cellular Processes,Transport and catabolism,Endocytosis
R1_cpdb_216,hsa04814,Cellular Processes,Cell motility,Motor proteins
R1_cpdb_221,hsa04610,Organismal Systems,Immune system,Complement and coagulation cascades
R1_cpdb_227,hsa00010,Metabolism,Carbohydrate metabolism,Glycolysis / Gluconeogenesis
R1_cpdb_229,hsa03082,Genetic Information Processing,Chromosome,ATP-dependent chromatin remodeling
R1_cpdb_232,hsa05412,Human Diseases,Cardiovascular disease,Arrhythmogenic right ventricular cardiomyopathy
R1_cpdb_233,hsa04814,Cellular Processes,Cell motility,Motor proteins
R1_cpdb_234,hsa00515,Metabolism,Glycan biosynthesis and metabolism,Mannose type O-glycan biosynthesis
R1_cpdb_236,hsa04137,Cellular Processes,Transport and catabolism,Mitophagy - animal
R1_cpdb_237,hsa04142,Cellular Processes,Transport and catabolism,Lysosome
R1_cpdb_238,hsa03018,Genetic Information Processing,"Folding, sorting and degradation",RNA degradation
R1_cpdb_241,hsa00051,Metabolism,Carbohydrate metabolism,Fructose and mannose metabolism
R1_cpdb_244,hsa03040,Genetic Information Processing,Transcription,Spliceosome
R1_cpdb_247,hsa00100,Metabolism,Lipid metabolism,Steroid biosynthesis
R1_cpdb_248,hsa05415,Human Diseases,Cardiovascular disease,Diabetic cardiomyopathy
R1_cpdb_252,hsa03030,Genetic Information Processing,Replication and repair,DNA replication
R1_cpdb_253,hsa04110,Cellular Processes,Cell growth and death,Cell cycle
R1_cpdb_255,hsa05321,Human Diseases,Immune disease,Inflammatory bowel disease
R1_cpdb_261,hsa05132,Human Diseases,Infectious disease: bacterial,Salmonella infection
R1_cpdb_262,hsa03020,Genetic Information Processing,Transcription,RNA polymerase
R1_cpdb_264,hsa00190,Metabolism,Energy metabolism,Oxidative phosphorylation
R1_cpdb_267,hsa04014,Environmental Information Processing,Signal transduction,Ras signaling pathway
R1_cpdb_271,hsa04151,Environmental Information Processing,Signal transduction,PI3K-Akt signaling pathway
R1_cpdb_272,hsa05133,Human Diseases,Infectious disease: bacterial,Pertussis
R1_cpdb_273,hsa04974,Organismal Systems,Digestive system,Protein digestion and absorption
R1_cpdb_276,hsa04540,Cellular Processes,Cellular community - eukaryotes,Gap junction
R1_cpdb_277,hsa04611,Organismal Systems,Immune system,Platelet activation
R1_cpdb_278,hsa04512,Environmental Information Processing,Signaling molecules and interaction,ECM-receptor interaction
R1_cpdb_279,hsa04814,Cellular Processes,Cell motility,Motor proteins
R1_cpdb_282,hsa04721,Organismal Systems,Nervous system,Synaptic vesicle cycle
R1_cpdb_283,hsa04814,Cellular Processes,Cell motility,Motor proteins
R1_cpdb_284,hsa04144,Cellular Processes,Transport and catabolism,Endocytosis
R1_cpdb_285,hsa04350,Environmental Information Processing,Signal transduction,TGF-beta signaling pathway
R1_cpdb_287,hsa00970,Genetic Information Processing,Translation,Aminoacyl-tRNA biosynthesis
R1_cpdb_291,hsa04144,Cellular Processes,Transport and catabolism,Endocytosis
R1_cpdb_293,hsa04530,Cellular Processes,Cellular community - eukaryotes,Tight junction
R1_cpdb_295,hsa04730,Organismal Systems,Nervous system,Long-term depression
R1_cpdb_296,hsa03060,Genetic Information Processing,"Folding, sorting and degradation",Protein export
R1_cpdb_297,hsa04724,Organismal Systems,Nervous system,Glutamatergic synapse
R1_cpdb_299,hsa00450,Metabolism,Metabolism of other amino acids,Selenocompound metabolism
R1_cpdb_303,hsa04964,Organismal Systems,Excretory system,Proximal tubule bicarbonate reclamation
R1_cpdb_304,hsa03013,Genetic Information Processing,Translation,Nucleocytoplasmic transport
R1_cpdb_305,hsa04144,Cellular Processes,Transport and catabolism,Endocytosis
R1_cpdb_306,hsa03013,Genetic Information Processing,Translation,Nucleocytoplasmic transport
R1_cpdb_309,hsa04714,Organismal Systems,Environmental adaptation,Thermogenesis
R1_cpdb_316,hsa04141,Genetic Information Processing,"Folding, sorting and degradation",Protein processing in endoplasmic reticulum
R1_cpdb_319,hsa04814,Cellular Processes,Cell motility,Motor proteins
R1_cpdb_320,hsa01040,Metabolism,Lipid metabolism,Biosynthesis of unsaturated fatty acids
R1_cpdb_321,hsa00592,Metabolism,Lipid metabolism,alpha-Linolenic acid metabolism
R1_cpdb_324,hsa04146,Cellular Processes,Transport and catabolism,Peroxisome
R1_cpdb_326,hsa03018,Genetic Information Processing,"Folding, sorting and degradation",RNA degradation
R1_cpdb_327,hsa00030,Metabolism,Carbohydrate metabolism,Pentose phosphate pathway
R1_cpdb_329,hsa05032,Human Diseases,Substance dependence,Morphine addiction
R1_cpdb_330,hsa04146,Cellular Processes,Transport and catabolism,Peroxisome
R1_cpdb_331,hsa00970,Genetic Information Processing,Translation,Aminoacyl-tRNA biosynthesis
R1_cpdb_334,hsa03008,Genetic Information Processing,Translation,Ribosome biogenesis in eukaryotes
R1_cpdb_339,hsa04130,Genetic Information Processing,"Folding, sorting and degradation",SNARE interactions in vesicular transport
R1_cpdb_340,hsa04146,Cellular Processes,Transport and catabolism,Peroxisome
R1_cpdb_345,hsa00140,Metabolism,Lipid metabolism,Steroid hormone biosynthesis
R1_cpdb_349,hsa04924,Organismal Systems,Endocrine system,Renin secretion
R1_cpdb_352,hsa04130,Genetic Information Processing,"Folding, sorting and degradation",SNARE interactions in vesicular transport
R1_cpdb_355,hsa04630,Environmental Information Processing,Signal transduction,JAK-STAT signaling pathway
R1_cpdb_359,hsa04721,Organismal Systems,Nervous system,Synaptic vesicle cycle
R1_cpdb_366,hsa05416,Human Diseases,Cardiovascular disease,Viral myocarditis
R1_cpdb_369,hsa00730,Metabolism,Metabolism of cofactors and vitamins,Thiamine metabolism
R1_cpdb_370,hsa04514,Environmental Information Processing,Signaling molecules and interaction,Cell adhesion molecules
R1_cpdb_373,hsa05320,Human Diseases,Immune disease,Autoimmune thyroid disease
R1_humanbase_73,hsa04260,Organismal Systems,Circulatory system,Cardiac muscle contraction
R1_humanbase_75,hsa04360,Organismal Systems,Development and regeneration,Axon guidance
R1_humanbase_81,hsa04610,Organismal Systems,Immune system,Complement and coagulation cascades
R1_humanbase_109,hsa04929,Organismal Systems,Endocrine system,GnRH secretion
R1_humanbase_195,hsa04966,Organismal Systems,Excretory system,Collecting duct acid secretion
R1_humanbase_220,hsa04350,Environmental Information Processing,Signal transduction,TGF-beta signaling pathway
R1_humanbase_310,hsa04930,Human Diseases,Endocrine and metabolic disease,Type II diabetes mellitus
R1_string_2,hsa05218,Human Diseases,Cancer: specific types,Melanoma
R1_string_5,hsa04310,Environmental Information Processing,Signal transduction,Wnt signaling pathway
R1_string_6,hsa03082,Genetic Information Processing,Chromosome,ATP-dependent chromatin remodeling
R1_string_8,hsa04512,Environmental Information Processing,Signaling molecules and interaction,ECM-receptor interaction
R1_string_9,hsa04710,Organismal Systems,Environmental adaptation,Circadian rhythm
R1_string_10,hsa04672,Organismal Systems,Immune system,Intestinal immune network for IgA production
R1_string_11,hsa05144,Human Diseases,Infectious disease: parasitic,Malaria
R1_string_12,hsa03460,Genetic Information Processing,Replication and repair,Fanconi anemia pathway
R1_string_13,hsa05017,Human Diseases,Neurodegenerative disease,Spinocerebellar ataxia
R1_string_14,hsa05213,Human Diseases,Cancer: specific types,Endometrial cancer
R1_string_15,hsa04137,Cellular Processes,Transport and catabolism,Mitophagy - animal
R1_string_16,hsa04722,Organismal Systems,Nervous system,Neurotrophin signaling pathway
R1_string_17,hsa03050,Genetic Information Processing,"Folding, sorting and degradation",Proteasome
R1_string_18,hsa04660,Organismal Systems,Immune system,T cell receptor signaling pathway
R1_string_19,hsa04064,Environmental Information Processing,Signal transduction,NF-kappa B signaling pathway
R1_string_24,hsa04725,Organismal Systems,Nervous system,Cholinergic synapse
R1_string_28,hsa04141,Genetic Information Processing,"Folding, sorting and degradation",Protein processing in endoplasmic reticulum
R1_string_30,hsa04514,Environmental Information Processing,Signaling molecules and interaction,Cell adhesion molecules
R1_string_31,hsa03082,Genetic Information Processing,Chromosome,ATP-dependent chromatin remodeling
R1_string_32,hsa04061,Environmental Information Processing,Signaling molecules and interaction,Viral protein interaction with cytokine and cytokine receptor
R1_string_33,hsa03015,Genetic Information Processing,Translation,mRNA surveillance pathway
R1_string_35,hsa04350,Environmental Information Processing,Signal transduction,TGF-beta signaling pathway
R1_string_36,hsa04360,Organismal Systems,Development and regeneration,Axon guidance
R1_string_37,hsa04110,Cellular Processes,Cell growth and death,Cell cycle
R1_string_39,hsa04512,Environmental Information Processing,Signaling molecules and interaction,ECM-receptor interaction
R1_string_41,hsa04810,Cellular Processes,Cell motility,Regulation of actin cytoskeleton
R1_string_42,hsa04360,Organismal Systems,Development and regeneration,Axon guidance
R1_string_45,hsa03250,Genetic Information Processing,Information processing in viruses,Viral life cycle - HIV-1
R1_string_49,hsa03020,Genetic Information Processing,Transcription,RNA polymerase
R1_string_51,hsa04130,Genetic Information Processing,"Folding, sorting and degradation",SNARE interactions in vesicular transport
R1_string_53,hsa04510,Cellular Processes,Cellular community - eukaryotes,Focal adhesion
R1_string_54,hsa04662,Organismal Systems,Immune system,B cell receptor signaling pathway
R1_string_56,hsa04360,Organismal Systems,Development and regeneration,Axon guidance
R1_string_57,hsa04514,Environmental Information Processing,Signaling molecules and interaction,Cell adhesion molecules
R1_string_58,hsa00785,Metabolism,Metabolism of cofactors and vitamins,Lipoic acid metabolism
R1_string_62,hsa04110,Cellular Processes,Cell growth and death,Cell cycle
R1_string_64,hsa04520,Cellular Processes,Cellular community - eukaryotes,Adherens junction
R1_string_66,hsa05410,Human Diseases,Cardiovascular disease,Hypertrophic cardiomyopathy
R1_string_67,hsa04721,Organismal Systems,Nervous system,Synaptic vesicle cycle
R1_string_70,hsa04120,Genetic Information Processing,"Folding, sorting and degradation",Ubiquitin mediated proteolysis
R1_string_71,hsa05216,Human Diseases,Cancer: specific types,Thyroid cancer
R1_string_73,hsa04724,Organismal Systems,Nervous system,Glutamatergic synapse
R1_string_74,hsa04610,Organismal Systems,Immune system,Complement and coagulation cascades
R1_string_75,hsa04130,Genetic Information Processing,"Folding, sorting and degradation",SNARE interactions in vesicular transport
R1_string_77,hsa04630,Environmental Information Processing,Signal transduction,JAK-STAT signaling pathway
R1_string_79,hsa04630,Environmental Information Processing,Signal transduction,JAK-STAT signaling pathway
R1_string_80,hsa05219,Human Diseases,Cancer: specific types,Bladder cancer
R1_string_81,hsa04371,Environmental Information Processing,Signal transduction,Apelin signaling pathway
R1_string_82,hsa03440,Genetic Information Processing,Replication and repair,Homologous recombination
R1_string_85,hsa03083,Genetic Information Processing,Chromosome,Polycomb repressive complex
R1_string_86,hsa04215,Cellular Processes,Cell growth and death,Apoptosis - multiple species
R1_string_87,hsa03083,Genetic Information Processing,Chromosome,Polycomb repressive complex
R1_string_88,hsa04010,Environmental Information Processing,Signal transduction,MAPK signaling pathway
R1_string_91,hsa04630,Environmental Information Processing,Signal transduction,JAK-STAT signaling pathway
R1_string_92,hsa04120,Genetic Information Processing,"Folding, sorting and degradation",Ubiquitin mediated proteolysis
R1_string_94,hsa03082,Genetic Information Processing,Chromosome,ATP-dependent chromatin remodeling
R1_string_95,hsa04210,Cellular Processes,Cell growth and death,Apoptosis
R1_string_96,hsa03015,Genetic Information Processing,Translation,mRNA surveillance pathway
R1_string_99,hsa04330,Environmental Information Processing,Signal transduction,Notch signaling pathway
R1_string_100,hsa04142,Cellular Processes,Transport and catabolism,Lysosome
R1_string_101,hsa03030,Genetic Information Processing,Replication and repair,DNA replication
R1_string_102,hsa04014,Environmental Information Processing,Signal transduction,Ras signaling pathway
R1_string_103,hsa04966,Organismal Systems,Excretory system,Collecting duct acid secretion
R1_string_104,hsa00563,Metabolism,Glycan biosynthesis and metabolism,Glycosylphosphatidylinositol (GPI)-anchor biosynthesis
R1_string_106,hsa03410,Genetic Information Processing,Replication and repair,Base excision repair
R1_string_107,hsa03015,Genetic Information Processing,Translation,mRNA surveillance pathway
R1_string_109,hsa04218,Cellular Processes,Cell growth and death,Cellular senescence
R1_string_111,hsa04215,Cellular Processes,Cell growth and death,Apoptosis - multiple species
R1_string_113,hsa04144,Cellular Processes,Transport and catabolism,Endocytosis
R1_string_116,hsa04110,Cellular Processes,Cell growth and death,Cell cycle
R1_string_119,hsa03013,Genetic Information Processing,Translation,Nucleocytoplasmic transport
R1_string_120,hsa04390,Environmental Information Processing,Signal transduction,Hippo signaling pathway
R1_string_121,hsa05135,Human Diseases,Infectious disease: bacterial,Yersinia infection
R1_string_122,hsa04110,Cellular Processes,Cell growth and death,Cell cycle
R1_string_123,hsa04141,Genetic Information Processing,"Folding, sorting and degradation",Protein processing in endoplasmic reticulum
R1_string_124,hsa04621,Organismal Systems,Immune system,NOD-like receptor signaling pathway
R1_string_125,hsa03040,Genetic Information Processing,Transcription,Spliceosome
R1_string_126,hsa04148,Cellular Processes,Transport and catabolism,Efferocytosis
R1_string_130,hsa03022,Genetic Information Processing,Transcription,Basal transcription factors
R1_string_131,hsa04064,Environmental Information Processing,Signal transduction,NF-kappa B signaling pathway
R1_string_132,hsa04610,Organismal Systems,Immune system,Complement and coagulation cascades
R1_string_134,hsa04814,Cellular Processes,Cell motility,Motor proteins
R1_string_135,hsa03015,Genetic Information Processing,Translation,mRNA surveillance pathway
R1_string_137,hsa03018,Genetic Information Processing,"Folding, sorting and degradation",RNA degradation
R1_string_139,hsa05340,Human Diseases,Immune disease,Primary immunodeficiency
R1_string_141,hsa03060,Genetic Information Processing,"Folding, sorting and degradation",Protein export
R1_string_143,hsa05321,Human Diseases,Immune disease,Inflammatory bowel disease
R1_string_144,hsa04662,Organismal Systems,Immune system,B cell receptor signaling pathway
R1_string_145,hsa04930,Human Diseases,Endocrine and metabolic disease,Type II diabetes mellitus
R1_string_146,hsa04310,Environmental Information Processing,Signal transduction,Wnt signaling pathway
R1_string_147,hsa04979,Organismal Systems,Digestive system,Cholesterol metabolism
R1_string_150,hsa03440,Genetic Information Processing,Replication and repair,Homologous recombination
R1_string_151,hsa03060,Genetic Information Processing,"Folding, sorting and degradation",Protein export
R1_string_152,hsa04610,Organismal Systems,Immune system,Complement and coagulation cascades
R1_string_154,hsa05217,Human Diseases,Cancer: specific types,Basal cell carcinoma
R1_string_155,hsa04150,Environmental Information Processing,Signal transduction,mTOR signaling pathway
R1_string_156,hsa04061,Environmental Information Processing,Signaling molecules and interaction,Viral protein interaction with cytokine and cytokine receptor
R1_string_159,hsa04910,Organismal Systems,Endocrine system,Insulin signaling pathway
R1_string_161,hsa03022,Genetic Information Processing,Transcription,Basal transcription factors
R1_string_162,hsa04260,Organismal Systems,Circulatory system,Cardiac muscle contraction
R1_string_163,hsa04062,Organismal Systems,Immune system,Chemokine signaling pathway
R1_string_167,hsa04620,Organismal Systems,Immune system,Toll-like receptor signaling pathway
R1_string_168,hsa04110,Cellular Processes,Cell growth and death,Cell cycle
R1_string_169,hsa04630,Environmental Information Processing,Signal transduction,JAK-STAT signaling pathway
R1_string_170,hsa04340,Environmental Information Processing,Signal transduction,Hedgehog signaling pathway
R1_string_171,hsa00513,Metabolism,Glycan biosynthesis and metabolism,Various types of N-glycan biosynthesis
R1_string_173,hsa05100,Human Diseases,Infectious disease: bacterial,Bacterial invasion of epithelial cells
R1_string_176,hsa04630,Environmental Information Processing,Signal transduction,JAK-STAT signaling pathway
R1_string_177,hsa03013,Genetic Information Processing,Translation,Nucleocytoplasmic transport
R1_string_179,hsa04120,Genetic Information Processing,"Folding, sorting and degradation",Ubiquitin mediated proteolysis
R1_string_180,hsa04710,Organismal Systems,Environmental adaptation,Circadian rhythm
R1_string_182,hsa03040,Genetic Information Processing,Transcription,Spliceosome
R1_string_183,hsa05322,Human Diseases,Immune disease,Systemic lupus erythematosus
R1_string_184,hsa03460,Genetic Information Processing,Replication and repair,Fanconi anemia pathway
R1_string_185,hsa04144,Cellular Processes,Transport and catabolism,Endocytosis
R1_string_188,hsa04012,Environmental Information Processing,Signal transduction,ErbB signaling pathway
R1_string_190,hsa03013,Genetic Information Processing,Translation,Nucleocytoplasmic transport
R1_string_191,hsa03450,Genetic Information Processing,Replication and repair,Non-homologous end-joining
R1_string_193,hsa04150,Environmental Information Processing,Signal transduction,mTOR signaling pathway
R1_string_194,hsa04814,Cellular Processes,Cell motility,Motor proteins
R1_string_195,hsa04979,Organismal Systems,Digestive system,Cholesterol metabolism
R1_string_196,hsa04960,Organismal Systems,Excretory system,Aldosterone-regulated sodium reabsorption
R1_string_197,hsa04620,Organismal Systems,Immune system,Toll-like receptor signaling pathway
R1_string_198,hsa04060,Environmental Information Processing,Signaling molecules and interaction,Cytokine-cytokine receptor interaction
R1_string_200,hsa04022,Environmental Information Processing,Signal transduction,cGMP-PKG signaling pathway
R1_string_201,hsa04512,Environmental Information Processing,Signaling molecules and interaction,ECM-receptor interaction
R1_string_202,hsa05033,Human Diseases,Substance dependence,Nicotine addiction
R1_string_204,hsa04022,Environmental Information Processing,Signal transduction,cGMP-PKG signaling pathway
R1_string_211,hsa04650,Organismal Systems,Immune system,Natural killer cell mediated cytotoxicity
R1_string_214,hsa04010,Environmental Information Processing,Signal transduction,MAPK signaling pathway
R1_string_215,hsa04146,Cellular Processes,Transport and catabolism,Peroxisome
R1_string_217,hsa04360,Organismal Systems,Development and regeneration,Axon guidance
R1_string_218,hsa05211,Human Diseases,Cancer: specific types,Renal cell carcinoma
R1_string_220,hsa04270,Organismal Systems,Circulatory system,Vascular smooth muscle contraction
R1_string_222,hsa05416,Human Diseases,Cardiovascular disease,Viral myocarditis
R1_string_224,hsa04610,Organismal Systems,Immune system,Complement and coagulation cascades
R1_string_226,hsa05161,Human Diseases,Infectious disease: viral,Hepatitis B
R1_string_227,hsa04380,Organismal Systems,Development and regeneration,Osteoclast differentiation
R1_string_229,hsa04080,Environmental Information Processing,Signaling molecules and interaction,Neuroactive ligand-receptor interaction
R1_string_230,hsa04657,Organismal Systems,Immune system,IL-17 signaling pathway
R1_string_235,hsa04610,Organismal Systems,Immune system,Complement and coagulation cascades
R1_string_242,hsa04610,Organismal Systems,Immune system,Complement and coagulation cascades
R1_string_244,hsa04612,Organismal Systems,Immune system,Antigen processing and presentation
R1_string_247,hsa04727,Organismal Systems,Nervous system,GABAergic synapse
R1_string_250,hsa04330,Environmental Information Processing,Signal transduction,Notch signaling pathway
R1_string_254,hsa04024,Environmental Information Processing,Signal transduction,cAMP signaling pathway
R1_string_257,hsa00480,Metabolism,Metabolism of other amino acids,Glutathione metabolism
R1_string_260,hsa04520,Cellular Processes,Cellular community - eukaryotes,Adherens junction
R1_string_261,hsa03018,Genetic Information Processing,"Folding, sorting and degradation",RNA degradation
R1_string_265,hsa03320,Organismal Systems,Endocrine system,PPAR signaling pathway
R1_string_266,hsa04722,Organismal Systems,Nervous system,Neurotrophin signaling pathway
R1_string_273,hsa04744,Organismal Systems,Sensory system,Phototransduction
R1_string_274,hsa05340,Human Diseases,Immune disease,Primary immunodeficiency
R1_string_278,hsa04120,Genetic Information Processing,"Folding, sorting and degradation",Ubiquitin mediated proteolysis
R1_string_281,hsa04360,Organismal Systems,Development and regeneration,Axon guidance
R1_string_282,hsa05213,Human Diseases,Cancer: specific types,Endometrial cancer
R1_string_283,hsa04330,Environmental Information Processing,Signal transduction,Notch signaling pathway
R1_string_285,hsa04962,Organismal Systems,Excretory system,Vasopressin-regulated water reabsorption
R1_string_289,hsa03440,Genetic Information Processing,Replication and repair,Homologous recombination
R1_string_290,hsa04614,Organismal Systems,Endocrine system,Renin-angiotensin system
R1_string_292,hsa05332,Human Diseases,Immune disease,Graft-versus-host disease
R1_string_295,hsa04071,Environmental Information Processing,Signal transduction,Sphingolipid signaling pathway
R1_string_298,hsa04310,Environmental Information Processing,Signal transduction,Wnt signaling pathway
R1_string_300,hsa05012,Human Diseases,Neurodegenerative disease,Parkinson disease
R1_string_303,hsa04810,Cellular Processes,Cell motility,Regulation of actin cytoskeleton
R1_string_311,hsa04141,Genetic Information Processing,"Folding, sorting and degradation",Protein processing in endoplasmic reticulum
R1_string_313,hsa04110,Cellular Processes,Cell growth and death,Cell cycle
R1_string_317,hsa04622,Organismal Systems,Immune system,RIG-I-like receptor signaling pathway
R1_string_320,hsa05211,Human Diseases,Cancer: specific types,Renal cell carcinoma
R1_string_324,hsa04340,Environmental Information Processing,Signal transduction,Hedgehog signaling pathway
R1_string_325,hsa00970,Genetic Information Processing,Translation,Aminoacyl-tRNA biosynthesis
R1_string_326,hsa04141,Genetic Information Processing,"Folding, sorting and degradation",Protein processing in endoplasmic reticulum
R1_string_328,hsa04724,Organismal Systems,Nervous system,Glutamatergic synapse
R1_string_331,hsa04510,Cellular Processes,Cellular community - eukaryotes,Focal adhesion
R1_string_335,hsa00020,Metabolism,Carbohydrate metabolism,Citrate cycle (TCA cycle)
R1_string_341,hsa01521,Human Diseases,Drug resistance: antineoplastic,EGFR tyrosine kinase inhibitor resistance
R1_string_349,hsa04136,Cellular Processes,Transport and catabolism,Autophagy - other
R1_string_350,hsa04310,Environmental Information Processing,Signal transduction,Wnt signaling pathway
R1_string_357,hsa04080,Environmental Information Processing,Signaling molecules and interaction,Neuroactive ligand-receptor interaction
R1_string_362,hsa05133,Human Diseases,Infectious disease: bacterial,Pertussis
R1_string_363,hsa05322,Human Diseases,Immune disease,Systemic lupus erythematosus
R1_string_364,hsa04922,Organismal Systems,Endocrine system,Glucagon signaling pathway
R1_string_365,hsa03420,Genetic Information Processing,Replication and repair,Nucleotide excision repair
R1_string_369,hsa04928,Organismal Systems,Endocrine system,"Parathyroid hormone synthesis, secretion and action"
R1_string_373,hsa04061,Environmental Information Processing,Signaling molecules and interaction,Viral protein interaction with cytokine and cytokine receptor
R1_string_379,hsa04964,Organismal Systems,Excretory system,Proximal tubule bicarbonate reclamation
R1_string_380,hsa04024,Environmental Information Processing,Signal transduction,cAMP signaling pathway
R1_string_384,hsa04380,Organismal Systems,Development and regeneration,Osteoclast differentiation
R1_string_386,hsa04923,Organismal Systems,Endocrine system,Regulation of lipolysis in adipocytes
R1_string_388,hsa04120,Genetic Information Processing,"Folding, sorting and degradation",Ubiquitin mediated proteolysis
R1_string_394,hsa04727,Organismal Systems,Nervous system,GABAergic synapse
R1_string_403,hsa04672,Organismal Systems,Immune system,Intestinal immune network for IgA production
R1_string_411,hsa03010,Genetic Information Processing,Translation,Ribosome
R1_string_414,hsa05332,Human Diseases,Immune disease,Graft-versus-host disease
R1_string_417,hsa04920,Organismal Systems,Endocrine system,Adipocytokine signaling pathway
R1_string_419,hsa04392,Environmental Information Processing,Signal transduction,Hippo signaling pathway - multiple species
R1_string_434,hsa00640,Metabolism,Carbohydrate metabolism,Propanoate metabolism
